"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","88.3496","85.5316","91.3797","85.3707","","3.29%"
"06/01/2024","85.5332","90.1000","91.7479","82.7377","","-5.07%"
"05/01/2024","90.1000","93.0525","93.7475","88.2636","","-3.17%"
"04/01/2024","93.0525","92.4800","94.5263","91.2425","","0.62%"
"03/01/2024","92.4800","91.1500","93.4350","90.0970","","1.46%"
"02/01/2024","91.1500","90.0175","93.2849","89.8360","","1.26%"
"01/01/2024","90.0175","90.3600","92.4475","87.3827","","-0.38%"
"12/01/2023","90.3600","89.4525","93.5296","88.8773","","1.01%"
"11/01/2023","89.4525","93.4000","93.7412","87.6858","","-4.23%"
"10/01/2023","93.4000","97.9675","102.2742","91.6394","","-4.66%"
"09/01/2023","97.9675","96.0250","98.5710","92.5561","","2.02%"
"08/01/2023","96.0250","91.6025","101.7356","91.4490","","4.83%"
"07/01/2023","91.6025","89.5500","93.7452","88.2854","","2.29%"
"06/01/2023","89.5500","81.1025","89.6863","80.4990","","10.42%"
"05/01/2023","81.1025","80.2500","81.3508","75.2510","","1.06%"
"04/01/2023","80.2500","77.5975","83.4458","77.3763","","3.42%"
"03/01/2023","77.5975","74.9700","77.9058","74.8825","","3.50%"
"02/01/2023","74.9700","69.8200","76.4350","69.8076","","7.38%"
"01/01/2023","69.8200","69.9000","72.4513","67.0998","","-0.11%"
"12/01/2022","69.9000","60.9900","72.8524","60.8200","","14.61%"
"11/01/2022","60.9900","61.4775","62.3590","59.9835","","-0.79%"
"10/01/2022","61.4775","58.4500","64.9150","56.9074","","5.18%"
"09/01/2022","58.4500","60.2300","62.5799","53.2875","","-2.96%"
"08/01/2022","60.2300","61.6200","62.6401","58.2493","","-2.26%"
"07/01/2022","61.6200","51.4500","64.5988","51.3998","","19.77%"
"06/01/2022","51.4500","61.5000","62.4923","50.1006","","-16.34%"
"05/01/2022","61.5000","70.9600","70.9600","55.8383","","-13.33%"
"04/01/2022","70.9600","83.2000","84.9917","70.3221","","-14.71%"
"03/01/2022","83.2000","94.6025","121.2100","82.9525","","-12.05%"
"02/01/2022","94.6025","77.3792","109.1239","74.2873","","22.26%"
"01/01/2022","77.3792","74.6539","80.3251","74.1898","","3.65%"
"12/01/2021","74.6539","74.0838","75.1295","73.1070","","0.77%"
"11/01/2021","74.0838","70.9464","75.8907","70.5283","","4.42%"
"10/01/2021","70.9464","72.7514","73.2325","69.2347","","-2.48%"
"09/01/2021","72.7514","73.2274","73.6184","72.2500","","-0.65%"
"08/01/2021","73.2274","73.1409","74.5781","72.6923","","0.12%"
"07/01/2021","73.1409","73.1925","75.3361","72.8178","","-0.02%"
"06/01/2021","73.1522","73.2636","73.7045","71.5630","","-0.38%"
"05/01/2021","73.4341","75.1859","75.3481","73.1646","","-2.36%"
"04/01/2021","75.2073","75.6500","78.0207","74.2151","","-0.65%"
"03/01/2021","75.6987","74.6196","76.6440","72.5404","","1.45%"
"02/01/2021","74.6196","75.7404","76.2821","73.1509","","-1.48%"
"01/01/2021","75.7404","74.4121","76.4995","73.0857","","1.79%"
"12/01/2020","74.4121","76.4033","76.4123","72.6629","","-2.61%"
